RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-10-31,2022-12-31,2023-09-30
394399,77,"Boise City, ID",msa,ID,2022-09-30,-1.0,-1.1,4.3
395134,78,"Stockton, CA",msa,CA,2022-09-30,-1.0,-1.4,-0.1
394484,79,"Colorado Springs, CO",msa,CO,2022-09-30,-0.5,-0.4,2.3
394798,80,"Little Rock, AR",msa,AR,2022-09-30,0.5,1.2,0.0
394766,81,"Lakeland, FL",msa,FL,2022-09-30,-0.2,-0.3,3.4
394531,82,"Des Moines, IA",msa,IA,2022-09-30,0.5,0.9,0.1
394304,83,"Akron, OH",msa,OH,2022-09-30,0.4,0.9,1.2
395115,84,"Springfield, MA",msa,MA,2022-09-30,0.4,0.7,0.7
394931,85,"Ogden, UT",msa,UT,2022-09-30,-0.8,-1.0,2.9
394528,86,"Deltona, FL",msa,FL,2022-09-30,0.1,0.7,3.9
395235,87,"Winston, NC",msa,NC,2022-09-30,0.6,1.5,4.2
394816,89,"Madison, WI",msa,WI,2022-09-30,0.3,0.8,0.7
395006,90,"Provo, UT",msa,UT,2022-09-30,0.5,1.1,4.9
394549,91,"Durham, NC",msa,NC,2022-09-30,-0.4,-0.5,2.5
395143,92,"Syracuse, NY",msa,NY,2022-09-30,0.3,0.6,1.2
395224,93,"Wichita, KS",msa,KS,2022-09-30,0.4,0.9,0.9
395160,94,"Toledo, OH",msa,OH,2022-09-30,0.4,0.8,1.2
394352,95,"Augusta, GA",msa,GA,2022-09-30,0.8,1.5,2.9
394957,96,"Palm Bay, FL",msa,FL,2022-09-30,0.3,0.6,3.5
394711,97,"Jackson, MS",msa,MS,2022-09-30,0.3,0.4,-0.2
394666,98,"Harrisburg, PA",msa,PA,2022-09-30,0.6,1.0,0.7
395113,99,"Spokane, WA",msa,WA,2022-09-30,-0.1,0.6,5.2
394460,100,"Chattanooga, TN",msa,TN,2022-09-30,0.6,1.4,4.3
395075,101,"Scranton, PA",msa,PA,2022-09-30,0.6,1.3,2.9
394871,102,"Modesto, CA",msa,CA,2022-09-30,-1.3,-1.7,-0.9
394590,103,"Fayetteville, AR",msa,AR,2022-09-30,0.9,2.1,5.2
394770,104,"Lansing, MI",msa,MI,2022-09-30,0.4,0.8,1.3
394768,105,"Lancaster, PA",msa,PA,2022-09-30,0.1,0.5,1.2
394997,106,"Portland, ME",msa,ME,2022-09-30,0.6,1.7,3.6
395245,107,"Youngstown, OH",msa,OH,2022-09-30,0.6,1.6,3.6
394589,108,"Fayetteville, NC",msa,NC,2022-09-30,0.9,1.7,2.8
394792,109,"Lexington, KY",msa,KY,2022-09-30,0.6,1.3,1.9
394898,110,"Myrtle Beach, SC",msa,SC,2022-09-30,-0.6,-1.7,0.8
394971,111,"Pensacola, FL",msa,FL,2022-09-30,0.4,1.4,4.5
394995,112,"Port St. Lucie, FL",msa,FL,2022-09-30,0.0,0.5,4.0
395068,113,"Santa Rosa, CA",msa,CA,2022-09-30,0.0,-0.5,-2.4
394761,114,"Lafayette, LA",msa,LA,2022-09-30,0.5,0.5,-1.7
394698,115,"Huntsville, AL",msa,AL,2022-09-30,0.5,1.2,4.4
395019,116,"Reno, NV",msa,NV,2022-09-30,-0.9,-1.6,0.1
395116,117,"Springfield, MO",msa,MO,2022-09-30,0.3,0.7,3.6
395195,118,"Visalia, CA",msa,CA,2022-09-30,0.6,0.7,2.1
394746,119,"Killeen, TX",msa,TX,2022-09-30,0.7,1.5,4.8
394338,120,"Asheville, NC",msa,NC,2022-09-30,0.2,0.8,2.7
395244,121,"York, PA",msa,PA,2022-09-30,0.0,0.2,0.1
395183,122,"Vallejo, CA",msa,CA,2022-09-30,-0.4,-1.5,-1.7
753917,123,"Santa Maria, CA",msa,CA,2022-09-30,-0.6,-0.9,0.1
395048,124,"Salem, OR",msa,OR,2022-09-30,0.4,1.0,2.9
395050,125,"Salinas, CA",msa,CA,2022-09-30,-0.7,-1.2,-1.2
394502,126,"Corpus Christi, TX",msa,TX,2022-09-30,0.1,-0.1,-1.1
394870,127,"Mobile, AL",msa,AL,2022-09-30,0.6,1.1,2.0
394421,128,"Brownsville, TX",msa,TX,2022-09-30,1.3,2.2,4.7
395051,129,"Salisbury, MD",msa,DE,2022-09-30,0.3,0.4,1.2
395015,130,"Reading, PA",msa,PA,2022-09-30,0.6,1.3,2.4
394658,131,"Gulfport, MS",msa,MS,2022-09-30,0.0,0.4,0.9
394820,132,"Manchester, NH",msa,NH,2022-09-30,0.6,0.9,2.4
394612,133,"Fort Wayne, IN",msa,IN,2022-09-30,0.4,1.0,2.6
394596,134,"Flint, MI",msa,MI,2022-09-30,0.5,1.4,2.8
394327,135,"Anchorage, AK",msa,AK,2022-09-30,0.2,0.0,-3.2
394972,136,"Peoria, IL",msa,IL,2022-09-30,0.0,-0.2,-2.8
394439,137,"Canton, OH",msa,OH,2022-09-30,0.4,0.9,1.7
395070,138,"Savannah, GA",msa,GA,2022-09-30,0.8,1.9,3.5
394901,139,"Naples, FL",msa,FL,2022-09-30,-0.2,0.1,3.2
395096,140,"Shreveport, LA",msa,LA,2022-09-30,-0.1,-0.8,-4.3
394372,141,"Beaumont, TX",msa,TX,2022-09-30,0.8,1.4,0.3
395146,142,"Tallahassee, FL",msa,FL,2022-09-30,0.8,1.3,2.0
394576,143,"Eugene, OR",msa,OR,2022-09-30,-0.2,-0.2,1.9
394520,144,"Davenport, IA",msa,IL,2022-09-30,0.2,0.0,-2.1
394927,145,"Ocala, FL",msa,FL,2022-09-30,0.9,1.8,6.2
394875,146,"Montgomery, AL",msa,AL,2022-09-30,0.2,0.2,-0.3
394679,147,"Hickory, NC",msa,NC,2022-09-30,0.6,1.4,3.3
395164,148,"Trenton, NJ",msa,NJ,2022-09-30,0.6,1.5,1.9
394332,149,"Ann Arbor, MI",msa,MI,2022-09-30,0.2,0.3,-0.8
394602,150,"Fort Collins, CO",msa,CO,2022-09-30,0.1,0.7,1.0
394697,151,"Huntington, WV",msa,OH,2022-09-30,0.3,0.1,-1.4
394796,152,"Lincoln, NE",msa,NE,2022-09-30,0.2,0.5,0.6
395033,153,"Rockford, IL",msa,IL,2022-09-30,0.2,0.6,1.0
394645,154,"Greeley, CO",msa,CO,2022-09-30,-0.1,-0.1,0.6
394622,155,"Gainesville, FL",msa,FL,2022-09-30,0.8,1.7,3.0
394405,156,"Boulder, CO",msa,CO,2022-09-30,-0.6,-1.1,-1.0
394808,157,"Lubbock, TX",msa,TX,2022-09-30,0.1,0.1,-0.4
395109,158,"Spartanburg, SC",msa,SC,2022-09-30,0.2,0.7,3.4
394646,159,"Green Bay, WI",msa,WI,2022-09-30,0.2,0.9,1.9
395107,160,"South Bend, IN",msa,IN,2022-09-30,0.8,2.1,4.0
394488,161,"Columbus, GA",msa,GA,2022-09-30,0.5,0.9,1.1
394579,162,"Evansville, IN",msa,IN,2022-09-30,0.5,1.1,1.3
394471,163,"Clarksville, TN",msa,TN,2022-09-30,0.6,1.8,4.6
395028,164,"Roanoke, VA",msa,VA,2022-09-30,0.5,1.2,1.4
394747,165,"Kingsport, TN",msa,TN,2022-09-30,0.9,2.5,3.4
394741,166,"Kennewick, WA",msa,WA,2022-09-30,-0.2,0.4,3.2
395229,167,"Wilmington, NC",msa,NC,2022-09-30,0.4,0.8,2.9
394937,168,"Olympia, WA",msa,WA,2022-09-30,-0.6,0.1,3.6
394660,169,"Hagerstown, MD",msa,MD,2022-09-30,0.2,0.3,1.0
753875,170,"Crestview, FL",msa,FL,2022-09-30,0.3,1.0,4.1
394543,171,"Duluth, MN",msa,MN,2022-09-30,0.3,0.6,0.5
395179,172,"Utica, NY",msa,NY,2022-09-30,0.2,0.5,1.5
394803,173,"Longview, TX",msa,TX,2022-09-30,0.7,0.9,-1.1
395061,174,"San Luis Obispo, CA",msa,CA,2022-09-30,-0.4,-0.9,-1.1
394851,175,"Merced, CA",msa,CA,2022-09-30,-1.6,-3.0,-1.4
394772,176,"Laredo, TX",msa,TX,2022-09-30,0.6,1.3,-0.6
395197,177,"Waco, TX",msa,TX,2022-09-30,-0.5,-0.6,2.0
394447,178,"Cedar Rapids, IA",msa,IA,2022-09-30,0.3,0.3,-0.8
395103,179,"Sioux Falls, SD",msa,SD,2022-09-30,0.6,1.3,1.8
394412,180,"Bremerton, WA",msa,WA,2022-09-30,0.5,1.4,4.1
395065,181,"Santa Cruz, CA",msa,CA,2022-09-30,-1.0,-0.7,-0.2
394572,182,"Erie, PA",msa,PA,2022-09-30,0.7,1.3,1.3
394483,183,"College Station, TX",msa,TX,2022-09-30,0.8,1.4,0.4
394732,184,"Kalamazoo, MI",msa,MI,2022-09-30,0.0,-0.1,1.4
394323,185,"Amarillo, TX",msa,TX,2022-09-30,0.2,0.4,0.5
394924,186,"Norwich, CT",msa,CT,2022-09-30,0.6,1.2,1.0
394811,187,"Lynchburg, VA",msa,VA,2022-09-30,0.5,1.1,1.5
394348,188,"Atlantic City, NJ",msa,NJ,2022-09-30,0.5,1.4,4.2
394455,189,"Charleston, WV",msa,WV,2022-09-30,0.8,0.3,-2.9
395171,190,"Tuscaloosa, AL",msa,AL,2022-09-30,0.7,1.2,1.1
395240,191,"Yakima, WA",msa,WA,2022-09-30,0.3,1.1,4.0
394609,192,"Fort Smith, AR",msa,AR,2022-09-30,0.1,0.5,-0.3
394585,193,"Fargo, ND",msa,ND,2022-09-30,0.2,0.3,-2.4
845160,194,"Prescott Valley, AZ",msa,AZ,2022-09-30,-0.5,-0.1,3.1
394334,195,"Appleton, WI",msa,WI,2022-09-30,0.7,1.5,2.7
394387,196,"Binghamton, NY",msa,NY,2022-09-30,0.5,0.8,0.5
395174,197,"Tyler, TX",msa,TX,2022-09-30,0.8,1.4,2.4
753895,198,"Lafayette, IN",msa,IN,2022-09-30,0.2,0.8,2.1
394378,199,"Bellingham, WA",msa,WA,2022-09-30,-0.3,0.4,3.7
395161,200,"Topeka, KS",msa,KS,2022-09-30,0.4,0.7,0.7
394813,201,"Macon, GA",msa,GA,2022-09-30,1.0,2.0,4.2
394519,202,"Daphne, AL",msa,AL,2022-09-30,0.5,1.2,4.4
394681,203,"Hilton Head Island, SC",msa,SC,2022-09-30,0.3,1.6,4.0
394454,204,"Champaign, IL",msa,IL,2022-09-30,0.3,0.3,-1.5
395030,205,"Rochester, MN",msa,MN,2022-09-30,0.1,0.2,-0.1
394848,206,"Medford, OR",msa,OR,2022-09-30,-0.4,-0.6,-0.7
394773,207,"Las Cruces, NM",msa,NM,2022-09-30,0.9,1.9,2.6
394429,208,"Burlington, VT",msa,VT,2022-09-30,0.7,1.3,1.5
394459,209,"Charlottesville, VA",msa,VA,2022-09-30,0.4,0.7,-0.1
395247,210,"Yuma, AZ",msa,AZ,2022-09-30,0.3,0.5,3.7
845164,211,"Lebanon, NH",msa,NH,2022-09-30,0.3,0.9,2.9
394765,212,"Lake Havasu City, AZ",msa,AZ,2022-09-30,-0.1,0.5,4.7
394346,213,"Athens, GA",msa,GA,2022-09-30,0.6,1.2,4.0
394361,214,"Barnstable Town, MA",msa,MA,2022-09-30,0.2,1.0,3.1
