Region,Month of Period End,Measure Names,Measure Values
"Philadelphia, PA metro area",March 2020,Homes Sold YoY ,-0.023692253
"Philadelphia, PA metro area",February 2020,Homes Sold YoY ,0.133034696
"Philadelphia, PA metro area",September 2022,Homes Sold MoM ,-0.046203844
"Philadelphia, PA metro area",August 2022,Homes Sold MoM ,-0.031602418
"Philadelphia, PA metro area",July 2022,Homes Sold MoM ,-0.020888628
"Philadelphia, PA metro area",June 2022,Homes Sold MoM ,-0.065944205
"Philadelphia, PA metro area",May 2022,Homes Sold MoM ,-0.024047069
"Philadelphia, PA metro area",April 2022,Homes Sold MoM ,-0.095268207
"Philadelphia, PA metro area",March 2022,Homes Sold MoM ,0.025767467
"Philadelphia, PA metro area",February 2022,Homes Sold MoM ,-0.072020751
"Philadelphia, PA metro area",January 2022,Homes Sold MoM ,0.104469576
"Philadelphia, PA metro area",December 2021,Homes Sold MoM ,-0.033173778
"Philadelphia, PA metro area",November 2021,Homes Sold MoM ,0.025636064
"Philadelphia, PA metro area",October 2021,Homes Sold MoM ,0.011317844
"Philadelphia, PA metro area",September 2021,Homes Sold MoM ,0.014650919
"Philadelphia, PA metro area",August 2021,Homes Sold MoM ,-0.022241489
"Philadelphia, PA metro area",July 2021,Homes Sold MoM ,-0.011363681
"Philadelphia, PA metro area",June 2021,Homes Sold MoM ,0.080520565
"Philadelphia, PA metro area",May 2021,Homes Sold MoM ,-0.023822583
"Philadelphia, PA metro area",April 2021,Homes Sold MoM ,-0.012180871
"Philadelphia, PA metro area",March 2021,Homes Sold MoM ,-0.014931175
"Philadelphia, PA metro area",February 2021,Homes Sold MoM ,-0.030099059
"Philadelphia, PA metro area",January 2021,Homes Sold MoM ,0.042237868
"Philadelphia, PA metro area",December 2020,Homes Sold MoM ,-0.030612330
"Philadelphia, PA metro area",November 2020,Homes Sold MoM ,-0.053745673
"Philadelphia, PA metro area",October 2020,Homes Sold MoM ,0.004374714
"Philadelphia, PA metro area",September 2020,Homes Sold MoM ,0.078463377
"Philadelphia, PA metro area",August 2020,Homes Sold MoM ,0.110116936
"Philadelphia, PA metro area",July 2020,Homes Sold MoM ,0.793936905
"Philadelphia, PA metro area",June 2020,Homes Sold MoM ,0.205906136
"Philadelphia, PA metro area",May 2020,Homes Sold MoM ,-0.289126281
"Philadelphia, PA metro area",April 2020,Homes Sold MoM ,-0.286764721
"Philadelphia, PA metro area",March 2020,Homes Sold MoM ,-0.098891202
"Philadelphia, PA metro area",February 2020,Homes Sold MoM ,0.051525835
"Philadelphia, PA metro area",September 2022,Homes Sold,1907.804859013
"Philadelphia, PA metro area",August 2022,Homes Sold,2000.222843721
"Philadelphia, PA metro area",July 2022,Homes Sold,2065.497560164
"Philadelphia, PA metro area",June 2022,Homes Sold,2109.563446630
"Philadelphia, PA metro area",May 2022,Homes Sold,2258.498323100
"Philadelphia, PA metro area",April 2022,Homes Sold,2314.146771161
"Philadelphia, PA metro area",March 2022,Homes Sold,2557.826297554
"Philadelphia, PA metro area",February 2022,Homes Sold,2493.573231454
"Philadelphia, PA metro area",January 2022,Homes Sold,2687.100205672
"Philadelphia, PA metro area",December 2021,Homes Sold,2432.932752916
"Philadelphia, PA metro area",November 2021,Homes Sold,2516.411634192
"Philadelphia, PA metro area",October 2021,Homes Sold,2453.513213152
"Philadelphia, PA metro area",September 2021,Homes Sold,2426.055496618
"Philadelphia, PA metro area",August 2021,Homes Sold,2391.024786551
"Philadelphia, PA metro area",July 2021,Homes Sold,2445.414445114
"Philadelphia, PA metro area",June 2021,Homes Sold,2473.522768206
"Philadelphia, PA metro area",May 2021,Homes Sold,2289.195456785
"Philadelphia, PA metro area",April 2021,Homes Sold,2345.060864536
"Philadelphia, PA metro area",March 2021,Homes Sold,2373.977982993
"Philadelphia, PA metro area",February 2021,Homes Sold,2409.961540562
"Philadelphia, PA metro area",January 2021,Homes Sold,2484.750183013
"Philadelphia, PA metro area",December 2020,Homes Sold,2384.052872226
"Philadelphia, PA metro area",November 2020,Homes Sold,2459.338967850
"Philadelphia, PA metro area",October 2020,Homes Sold,2599.025332509
"Philadelphia, PA metro area",September 2020,Homes Sold,2587.704864749
"Philadelphia, PA metro area",August 2020,Homes Sold,2399.436940287
"Philadelphia, PA metro area",July 2020,Homes Sold,2161.427200275
"Philadelphia, PA metro area",June 2020,Homes Sold,1204.851293446
"Philadelphia, PA metro area",May 2020,Homes Sold,999.125269551
"Philadelphia, PA metro area",April 2020,Homes Sold,1405.489108713
"Philadelphia, PA metro area",March 2020,Homes Sold,1970.582709742
"Philadelphia, PA metro area",February 2020,Homes Sold,2186.842158692
"Philadelphia, PA metro area",September 2022,Median Sale Price YoY ,0.003320694
"Philadelphia, PA metro area",August 2022,Median Sale Price YoY ,0.020778882
"Philadelphia, PA metro area",July 2022,Median Sale Price YoY ,0.020165208
"Philadelphia, PA metro area",June 2022,Median Sale Price YoY ,0.072631663
"Philadelphia, PA metro area",May 2022,Median Sale Price YoY ,0.072733708
"Philadelphia, PA metro area",April 2022,Median Sale Price YoY ,0.029636476
"Philadelphia, PA metro area",March 2022,Median Sale Price YoY ,0.035408766
"Philadelphia, PA metro area",February 2022,Median Sale Price YoY ,0.059127718
"Philadelphia, PA metro area",January 2022,Median Sale Price YoY ,0.061204035
"Philadelphia, PA metro area",December 2021,Median Sale Price YoY ,0.068655101
"Philadelphia, PA metro area",November 2021,Median Sale Price YoY ,0.078810268
"Philadelphia, PA metro area",October 2021,Median Sale Price YoY ,0.091200284
"Philadelphia, PA metro area",September 2021,Median Sale Price YoY ,0.073928776
"Philadelphia, PA metro area",August 2021,Median Sale Price YoY ,0.106270011
"Philadelphia, PA metro area",July 2021,Median Sale Price YoY ,0.119936032
"Philadelphia, PA metro area",June 2021,Median Sale Price YoY ,0.128479865
"Philadelphia, PA metro area",May 2021,Median Sale Price YoY ,0.143435004
"Philadelphia, PA metro area",April 2021,Median Sale Price YoY ,0.089393716
"Philadelphia, PA metro area",March 2021,Median Sale Price YoY ,0.089641674
"Philadelphia, PA metro area",February 2021,Median Sale Price YoY ,0.088449965
"Philadelphia, PA metro area",January 2021,Median Sale Price YoY ,0.120684737
"Philadelphia, PA metro area",December 2020,Median Sale Price YoY ,0.137925021
"Philadelphia, PA metro area",November 2020,Median Sale Price YoY ,0.128566591
"Philadelphia, PA metro area",October 2020,Median Sale Price YoY ,0.178759197
"Philadelphia, PA metro area",September 2020,Median Sale Price YoY ,0.204380785
"Philadelphia, PA metro area",August 2020,Median Sale Price YoY ,0.108871465
"Philadelphia, PA metro area",July 2020,Median Sale Price YoY ,0.107177716
"Philadelphia, PA metro area",June 2020,Median Sale Price YoY ,0.068959948
"Philadelphia, PA metro area",May 2020,Median Sale Price YoY ,0.089878316
"Philadelphia, PA metro area",April 2020,Median Sale Price YoY ,0.174434377
"Philadelphia, PA metro area",March 2020,Median Sale Price YoY ,0.166804240
"Philadelphia, PA metro area",February 2020,Median Sale Price YoY ,0.144276817
"Philadelphia, PA metro area",September 2022,Median Sale Price MoM ,-0.008463081
"Philadelphia, PA metro area",August 2022,Median Sale Price MoM ,0.002903086
"Philadelphia, PA metro area",July 2022,Median Sale Price MoM ,-0.027125595
"Philadelphia, PA metro area",June 2022,Median Sale Price MoM ,0.001338639
"Philadelphia, PA metro area",May 2022,Median Sale Price MoM ,0.034798378
"Philadelphia, PA metro area",April 2022,Median Sale Price MoM ,6.215861573e-05
"Philadelphia, PA metro area",March 2022,Median Sale Price MoM ,-0.002646384
"Philadelphia, PA metro area",February 2022,Median Sale Price MoM ,0.005589219
"Philadelphia, PA metro area",January 2022,Median Sale Price MoM ,-0.002188998
"Philadelphia, PA metro area",December 2021,Median Sale Price MoM ,-0.006238880
"Philadelphia, PA metro area",November 2021,Median Sale Price MoM ,-0.000410391
"Philadelphia, PA metro area",October 2021,Median Sale Price MoM ,0.006768522
"Philadelphia, PA metro area",September 2021,Median Sale Price MoM ,0.008790064
"Philadelphia, PA metro area",August 2021,Median Sale Price MoM ,0.002300159
"Philadelphia, PA metro area",July 2021,Median Sale Price MoM ,0.022908724
"Philadelphia, PA metro area",June 2021,Median Sale Price MoM ,0.001433901
"Philadelphia, PA metro area",May 2021,Median Sale Price MoM ,-0.006774796
"Philadelphia, PA metro area",April 2021,Median Sale Price MoM ,0.005668651
"Philadelphia, PA metro area",March 2021,Median Sale Price MoM ,0.020200807
"Philadelphia, PA metro area",February 2021,Median Sale Price MoM ,0.007560579
"Philadelphia, PA metro area",January 2021,Median Sale Price MoM ,0.004816965
"Philadelphia, PA metro area",December 2020,Median Sale Price MoM ,0.003204587
"Philadelphia, PA metro area",November 2020,Median Sale Price MoM ,0.011069786
"Philadelphia, PA metro area",October 2020,Median Sale Price MoM ,-0.009166601
"Philadelphia, PA metro area",September 2020,Median Sale Price MoM ,0.039169655
"Philadelphia, PA metro area",August 2020,Median Sale Price MoM ,0.014681816
"Philadelphia, PA metro area",July 2020,Median Sale Price MoM ,0.030712350
"Philadelphia, PA metro area",June 2020,Median Sale Price MoM ,0.014705367
"Philadelphia, PA metro area",May 2020,Median Sale Price MoM ,-0.053716834
"Philadelphia, PA metro area",April 2020,Median Sale Price MoM ,0.005897553
"Philadelphia, PA metro area",March 2020,Median Sale Price MoM ,0.019085044
"Philadelphia, PA metro area",February 2020,Median Sale Price MoM ,0.037399787
"Philadelphia, PA metro area",September 2022,Median Sale Price,267119.767598833
"Philadelphia, PA metro area",August 2022,Median Sale Price,269399.719255946
"Philadelphia, PA metro area",July 2022,Median Sale Price,268619.892514747
"Philadelphia, PA metro area",June 2022,Median Sale Price,276109.527605158
"Philadelphia, PA metro area",May 2022,Median Sale Price,275740.410737825
"Philadelphia, PA metro area",April 2022,Median Sale Price,266467.764724019
"Philadelphia, PA metro area",March 2022,Median Sale Price,266451.202486112
"Philadelphia, PA metro area",February 2022,Median Sale Price,267158.205746846
"Philadelphia, PA metro area",January 2022,Median Sale Price,265673.299418723
"Philadelphia, PA metro area",December 2021,Median Sale Price,266256.133487163
"Philadelphia, PA metro area",November 2021,Median Sale Price,267927.70221345
"Philadelphia, PA metro area",October 2021,Median Sale Price,268037.702343131
"Philadelphia, PA metro area",September 2021,Median Sale Price,266235.680331056
"Philadelphia, PA metro area",August 2021,Median Sale Price,263915.843123987
"Philadelphia, PA metro area",July 2021,Median Sale Price,263310.187742455
"Philadelphia, PA metro area",June 2021,Median Sale Price,257413.180197242
"Philadelphia, PA metro area",May 2021,Median Sale Price,257044.603688654
"Philadelphia, PA metro area",April 2021,Median Sale Price,258797.906770223
"Philadelphia, PA metro area",March 2021,Median Sale Price,257339.140947727
"Philadelphia, PA metro area",February 2021,Median Sale Price,252243.616234003
"Philadelphia, PA metro area",January 2021,Median Sale Price,250350.819046084
"Philadelphia, PA metro area",December 2020,Median Sale Price,249150.669080811
"Philadelphia, PA metro area",November 2020,Median Sale Price,248354.794416215
"Philadelphia, PA metro area",October 2020,Median Sale Price,245635.660343391
"Philadelphia, PA metro area",September 2020,Median Sale Price,247908.135325319
"Philadelphia, PA metro area",August 2020,Median Sale Price,238563.678326153
"Philadelphia, PA metro area",July 2020,Median Sale Price,235111.810098799
"Philadelphia, PA metro area",June 2020,Median Sale Price,228106.13470085
"Philadelphia, PA metro area",May 2020,Median Sale Price,224800.362770996
"Philadelphia, PA metro area",April 2020,Median Sale Price,237561.409590726
"Philadelphia, PA metro area",March 2020,Median Sale Price,236168.592900726
"Philadelphia, PA metro area",February 2020,Median Sale Price,231745.715705823
