Region,Month of Period End,Measure Names,Measure Values
"Philadelphia, PA metro area",October 2021,Average Sale To List,0.988321162
"Philadelphia, PA metro area",September 2021,Average Sale To List,0.991540370
"Philadelphia, PA metro area",August 2021,Average Sale To List,0.992662053
"Philadelphia, PA metro area",July 2021,Average Sale To List,0.994646345
"Philadelphia, PA metro area",June 2021,Average Sale To List,0.991198112
"Philadelphia, PA metro area",May 2021,Average Sale To List,0.990993035
"Philadelphia, PA metro area",April 2021,Average Sale To List,0.988119854
"Philadelphia, PA metro area",March 2021,Average Sale To List,0.989017692
"Philadelphia, PA metro area",February 2021,Average Sale To List,0.986528341
"Philadelphia, PA metro area",January 2021,Average Sale To List,0.985834753
"Philadelphia, PA metro area",December 2020,Average Sale To List,0.986557392
"Philadelphia, PA metro area",November 2020,Average Sale To List,0.988845102
"Philadelphia, PA metro area",October 2020,Average Sale To List,0.984771942
"Philadelphia, PA metro area",September 2020,Average Sale To List,0.980901179
"Philadelphia, PA metro area",August 2020,Average Sale To List,0.978960644
"Philadelphia, PA metro area",July 2020,Average Sale To List,0.972353500
"Philadelphia, PA metro area",June 2020,Average Sale To List,0.964535004
"Philadelphia, PA metro area",May 2020,Average Sale To List,0.961458666
"Philadelphia, PA metro area",April 2020,Average Sale To List,0.974864631
"Philadelphia, PA metro area",March 2020,Average Sale To List,0.973214045
"Philadelphia, PA metro area",February 2020,Average Sale To List,0.972149184
"Philadelphia, PA metro area",September 2022,Days on Market YoY,6
"Philadelphia, PA metro area",August 2022,Days on Market YoY,4
"Philadelphia, PA metro area",July 2022,Days on Market YoY,5
"Philadelphia, PA metro area",June 2022,Days on Market YoY,3
"Philadelphia, PA metro area",May 2022,Days on Market YoY,0
"Philadelphia, PA metro area",April 2022,Days on Market YoY,-3
"Philadelphia, PA metro area",March 2022,Days on Market YoY,-3
"Philadelphia, PA metro area",February 2022,Days on Market YoY,4
"Philadelphia, PA metro area",January 2022,Days on Market YoY,4
"Philadelphia, PA metro area",December 2021,Days on Market YoY,4
"Philadelphia, PA metro area",November 2021,Days on Market YoY,3
"Philadelphia, PA metro area",October 2021,Days on Market YoY,2
"Philadelphia, PA metro area",September 2021,Days on Market YoY,-1
"Philadelphia, PA metro area",August 2021,Days on Market YoY,-8
"Philadelphia, PA metro area",July 2021,Days on Market YoY,-16
"Philadelphia, PA metro area",June 2021,Days on Market YoY,-24
"Philadelphia, PA metro area",May 2021,Days on Market YoY,-17
"Philadelphia, PA metro area",April 2021,Days on Market YoY,-7
"Philadelphia, PA metro area",March 2021,Days on Market YoY,-4
"Philadelphia, PA metro area",February 2021,Days on Market YoY,-12
"Philadelphia, PA metro area",January 2021,Days on Market YoY,-11
"Philadelphia, PA metro area",December 2020,Days on Market YoY,-8
"Philadelphia, PA metro area",November 2020,Days on Market YoY,-8
"Philadelphia, PA metro area",October 2020,Days on Market YoY,-6
"Philadelphia, PA metro area",September 2020,Days on Market YoY,-6
"Philadelphia, PA metro area",August 2020,Days on Market YoY,-5
"Philadelphia, PA metro area",July 2020,Days on Market YoY,0
"Philadelphia, PA metro area",June 2020,Days on Market YoY,8
"Philadelphia, PA metro area",May 2020,Days on Market YoY,5
"Philadelphia, PA metro area",April 2020,Days on Market YoY,-2
"Philadelphia, PA metro area",March 2020,Days on Market YoY,-4
"Philadelphia, PA metro area",February 2020,Days on Market YoY,4
"Philadelphia, PA metro area",September 2022,Days on Market MoM,4
"Philadelphia, PA metro area",August 2022,Days on Market MoM,0
"Philadelphia, PA metro area",July 2022,Days on Market MoM,2
"Philadelphia, PA metro area",June 2022,Days on Market MoM,1
"Philadelphia, PA metro area",May 2022,Days on Market MoM,0
"Philadelphia, PA metro area",April 2022,Days on Market MoM,0
"Philadelphia, PA metro area",March 2022,Days on Market MoM,-4
"Philadelphia, PA metro area",February 2022,Days on Market MoM,0
"Philadelphia, PA metro area",January 2022,Days on Market MoM,-1
"Philadelphia, PA metro area",December 2021,Days on Market MoM,1
"Philadelphia, PA metro area",November 2021,Days on Market MoM,0
"Philadelphia, PA metro area",October 2021,Days on Market MoM,2
"Philadelphia, PA metro area",September 2021,Days on Market MoM,2
"Philadelphia, PA metro area",August 2021,Days on Market MoM,2
"Philadelphia, PA metro area",July 2021,Days on Market MoM,1
"Philadelphia, PA metro area",June 2021,Days on Market MoM,-3
"Philadelphia, PA metro area",May 2021,Days on Market MoM,-2
"Philadelphia, PA metro area",April 2021,Days on Market MoM,0
"Philadelphia, PA metro area",March 2021,Days on Market MoM,4
"Philadelphia, PA metro area",February 2021,Days on Market MoM,0
"Philadelphia, PA metro area",January 2021,Days on Market MoM,-1
"Philadelphia, PA metro area",December 2020,Days on Market MoM,0
"Philadelphia, PA metro area",November 2020,Days on Market MoM,-2
"Philadelphia, PA metro area",October 2020,Days on Market MoM,0
"Philadelphia, PA metro area",September 2020,Days on Market MoM,-5
"Philadelphia, PA metro area",August 2020,Days on Market MoM,-6
"Philadelphia, PA metro area",July 2020,Days on Market MoM,-7
"Philadelphia, PA metro area",June 2020,Days on Market MoM,4
